AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
CARRETERA GUADALAJARA - EL SALTO VÍA EL VERDE,1900,LOMA DEL VERDE,45694.0,SAN JOSE EL VERDE (EL VERDE),JALISCO,MEXICO,EL SALTO,Jalisco,El Salto,El Salto,Loma del Verde,Carretera Guadalajara - El Salto Vía El Verde,1900,45694.0,San José El Verde (El Verde),20.5620324,-103.2829313,0.8,0.8,Carretera Guadalajara el Salto,2100.0,45694,20.5609223,-103.2842053,San José el Verde,El Verde,None,Jal.,Jalisco,MX,45694.0,200.0,,FUZZ
CALLE 47,#23,SANTA CRUZ MEYEHUALCO,9290.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,IZTAPALAPA,Ciudad de México,Iztapalapa,Ciudad de México,Santa Cruz Meyehualco,Calle 47,23,9290.0,,19.34436,-99.04248,0.99,0.99,CALLE 47,23.0,9290,19.3443713138,-99.0423417165,,santa cruz meyehualco,,,,,9290.0,0.0,iztapalapa,EXACT
MORELOS 318PTE 318,318PTE,SAN MIGUEL ZINACANTEPEC CENTRO,51350.0,SAN MIGUEL ZINACANTEPEC,ESTADO DE MEXICO,MEXICO,ZINACANTEPEC,México,Zinacantepec,San Miguel Zinacantepec,San Miguel Zinacantepec Centro,Morelos,318 Pte,51350.0,,19.2797044,-99.7261227,0.5,0.3,José María Morelos,325.0,51350,19.2724717,-99.7734961,San Antonio Acahualco,Zinacantepec,None,Méx.,Estado de México,MX,51350.0,7.0,,SUB
AV. INSURGENTES NORTE,226,SANTA MARIA LA RIBERA,6400.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,CUAUHTEMOC,Ciudad de México,Cuauhtémoc,Ciudad de México,Santa María La Ribera,Avenida Insurgentes Norte,226,6400.0,,19.44765,-99.15322,1.0,1.0,AVENIDA INSURGENTES NORTE,240.0,6400,19.44785662,-99.15339338,,santa maria la ribera,,,,,6400.0,14.0,cuauhtemoc,EXACT
AV EJERCITO NACIONAL,6905,PARTIDO IGLESIAS,32528.0,JUAREZ,CHIHUAHUA,MEXICO,JUAREZ,Chihuahua,Juárez,Juárez,Partido Iglesias,Avenida Ejército Nacional,6905,32528.0,,31.7061811,-106.4235211,1.0,1.0,Avenida Ejército Nacional,8805.0,32528,31.6919081,-106.4034025,Ciudad Juárez,Partido Iglesias,None,Chih.,Chihuahua,MX,32528.0,1900.0,,EXACT
AV INDUSTRIAL FARMACEUTICA,. 5,EMILIANO ZAPATA,52004.0,EJIDAL EMILIANO ZAPATA,ESTADO DE MEXICO,MEXICO,LERMA,México,Lerma,Lerma,Emiliano Zapata,Avenida Industrial Farmacéutica,5,52004.0,Ejidal Emiliano Zapata,19.2901965,-99.5453047,1.0,1.0,Avenida de la Industria Farmacéutica,2.0,52004,19.2900716,-99.5443683,Lerma de Villada,Isidro Fabela,None,Méx.,Estado de México,MX,52004.0,3.0,,FUZZ
"LA MARINA DEL PALMAR PORTON AMARILLO1, CALLE RANGEL", ,BARRIO EL MANGLITO,23060.0,LA PAZ,BAJA CALIFORNIA SUR,MEXICO,LA PAZ,Baja California Sur,La Paz,La Paz,Barrio El Manglito,Calle Rangel,1,23060.0,La Marina del Palmar Portón Amarillo,24.15005,-110.32985,0.99,0.91,Calle Sonora,345.0,23060,24.1481142,-110.3253702,La Paz,Pueblo Nuevo,None,B.C.S.,Baja California Sur,MX,23060.0,344.0,,FUZZ
PRIVMARIANOABASOLO CEL7221730360,8 INT 8,GUADALUPE LA CIENEGA,52004.0,GUADALUPE LA CIENEGA,ESTADO DE MEXICO,MEXICO,LERMA,México,Lerma,Lerma,Guadalupe la Ciénega,Mariano Abasolo,8 Int 8,52004.0,CEL7221730360,19.2978185,-99.536755,0.3,0.5,Altamirano,0.0,52004,19.2998072,-99.5498452,Lerma de Villada,Francisco I Madero,None,Méx.,Estado de México,MX,52004.0,8.0,,FUZZ
AV. AÑO DE JUAREZ,145,GRANJAS DE SAN ANTONIO,9070.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,IZTAPALAPA,Ciudad de México,Iztapalapa,Ciudad de México,Granjas de San Antonio,Avenida Año de Juárez,145,9070.0,,19.36107,-99.10802,0.97,0.97,AVENIDA AÑO DE JUAREZ,127.0,9070,19.3605517601,-99.1076000684,,granjas de san antonio,,,,,9070.0,18.0,iztapalapa,FUZZ
PRIVMARIANOABASOLO CEL7221730360,8 INT 8,GUADALUPE LA CIENEGA,52004.0,GUADALUPE LA CIENEGA,ESTADO DE MEXICO,MEXICO,LERMA,México,Lerma,Lerma,Guadalupe la Ciénega,Mariano Abasolo,8 Int 8,52004.0,CEL7221730360,19.2978185,-99.536755,0.3,0.5,Altamirano,0.0,52004,19.2998072,-99.5498452,Lerma de Villada,Francisco I Madero,None,Méx.,Estado de México,MX,52004.0,8.0,,FUZZ
